Japanese character,japanese,english
本 ,hon, - Book
ベッド ,beddo, – Bed
時計 ,tokei," – Watch, clock"
名前 ,namae, – Name
黒い ,kuroi, – Black
白い ,shiroi, - White
英語 ,eigo, – English (language
電話 ,denwa, – Telephone
猫 ,neko, – Cat
犬 ,inu, – Dog
コンピュータ ,konpiūta, – Computer
服 ,fuku, – Clothes
パン ,pan, – Bread
ビール ,biru, – Beer
飲み物 ,nomi mono, – Beverage
男の子 ,otoko no ko, – Boy
女の子 ,onna no ko, – Girl
子供 ,kodomo, – Child
母 ,haha, – Mother
父 ,chichi, – Father
友達 ,tomodachi, – Friend
学生 ,kagusei, – Student
先生 ,sensei, – Teacher
花 ,hana, – Flower
魚 ,sakana, – Fish
空 ,sora, - Sky
雨 ,ame, - Rain
今 ,ima, – Now
今日 ,kyou, – Today
昨日 ,kinou, – Yesterday
毎週 ,maishū, – Every week
午前 ,gozen,* - Morning
月曜日 ,getsuyoubi, – Monday
火曜日 ,kayoubi, – Tuesday
水曜日 ,suiyoubi, – Wednesday
木曜日 , mokuyoubi, – Thursday
金曜日 ,kinyoubi, – Friday
土曜日 ,douyoubi, - Saturday
日曜日 ,nichiyoubi, – Sunday
今年 ,kotoshi, – This year
耳 ,mimi, - Ear
手 ,te, - Hand
足 ,ashi, - Foot
口 ,kuchi, – Mouth
顔 ,kao, - Face
駅 ,eki, – Train station
北 ,kita, – North
南 ,minami, – South
国 ,kuni, – Country
外国 ,gaikoku, – Gaikoku
左 ,hidari, – Left
入口 ,iriguchi, – Entrance
出口 ,deguchi, - Exit
おしゃしぶりです ,oshashiburi desu, – Long time no see.
さようなら ,sayounara, – Goodbye
またね ,matane, – See you
おはようございます ,ohayou gozaimasu, – Good Morning
こんにちは ,konnichi wa, – Hello
いいえ ,iie, - No
わかりません ,wakarimasen, – I don’t understand
わすれました ,wasuremashita, – I forgot
たぶん ,tabun, – Maybe
だいじょうぶ ,daijoubu, – Alright
よろしくお願いします ,yoroshiku onegai shimasu, – Nice to meet you
おねがいします ,onegai shimasu, – Please
どうもありがとうございます ,doumo arigatou gozaimasu, – Thank you so much
すみません ,sumimasen, – Excuse me / I’m sorry
ごめんなさい ,gomennasai, – I’m sorry
どうぞ* ,douzo, – After you
ごめんなさい,gomen nasai, – I’m sorry
助けてください ,tasukete kudasai), – Help!
